"Imported Profiles","Company Table Data (Company filter table test (superhero))","First Name","Last Name","Full Name","Job Title","Location","Company Domain","LinkedIn Profile","Enrich Person from LinkedIn Profile","Picture Url Orig","Picture Url Copy","LinkedIn Picture Check","Image Description","Attribute Descriptions","Response","JSON Reformat (1)"
,,"Robert","Wawrzyniec","Robert Wawrzyniec","Vice President of Sales & Revenue Management / Regional Vice President","Kansas City Metropolitan Area","bigfrog104.com","https://linkedin.com/in/robertwawrzyniec","Robert Wawrzyniec","https://media.licdn.com/dms/image/D5603AQEDVtA-HOtb3A/profile-displayphoto-shrink_800_800/0/1701560012022?e=1718841600&v=beta&t=0cNaFRYkea20_cvq1epjy8HIGkLcG0h3cIGXOamRAo4","https://media.licdn.com/dms/image/D5603AQEDVtA-HOtb3A/profile-displayphoto-shrink_800_800/0/1701560012022?e=1718841600&v=beta&t=0cNaFRYkea20_cvq1epjy8HIGkLcG0h3cIGXOamRAo4","true","Male, Light, Grey, Short, Medium, Frontal, No, Yes","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light""},
Hair Color: {""Hair Color"": ""Gray""},
Hair Length:...","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light""},
Hair Color: {""Hair Color"": ""Gray""},
Hair Length: {""Hair Length"": ""Short""},
Facial Hair: {""Facial Hair"": ""None""},
Build: {""Build"": ""Average""},
Angle Facing Camera: {""Angle Facing Camera"": ""Front""},
Presence of Glasses: {""Presence of Glasses"": ""No""},
Facial Expression: {""Facial Expression"": ""Smiling""},
Suitability for Faceswap: {""Suitability for Faceswap"": ""Yes""}","{
  ""Sex"": {""Sex"": ""Male""},
  ""Skin Tone"": {""Tone"": ""Light""},
  ""Hair Color"": {""Hair Color"": ""Gray""}..."
,,"Ryan","Peck","Ryan Peck","Associate Vice President/Chief Revenue Officer","Dallas-Fort Worth Metroplex","unt.edu","https://linkedin.com/in/ryanpeck","Ryan Peck","https://media.licdn.com/dms/image/C4E03AQF0EMCe-9qZhg/profile-displayphoto-shrink_800_800/0/1607586649125?e=1718841600&v=beta&t=v5tMW_tTchxDOTJpyso5y9OeWVfrDh0iuet1Qnw7PrM","https://media.licdn.com/dms/image/C4E03AQF0EMCe-9qZhg/profile-displayphoto-shrink_800_800/0/1607586649125?e=1718841600&v=beta&t=v5tMW_tTchxDOTJpyso5y9OeWVfrDh0iuet1Qnw7PrM","true","Male, Light, Dark Brown, Short, Average, Side, No, Yes","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light""},
Hair Color: {""Hair Color"": ""Dark Brown""},
Hair L...","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light""},
Hair Color: {""Hair Color"": ""Dark Brown""},
Hair Length: {""Hair Length"": ""Short""},
Facial Hair: {""Facial Hair"": ""None""},
Build: {""Build"": ""Average""},
Angle Facing Camera: {""Angle Facing Camera"": ""Front""},
Presence of Glasses: {""Presence of Glasses"": ""No""},
Facial Expression: {""Facial Expression"": ""Smiling""},
Suitability for Faceswap: {""Suitability for Faceswap"": ""Yes""}","{
  ""Sex"": {""Sex"": ""Male""},
  ""Skin Tone"": {""Tone"": ""Light""},
  ""Hair Color"": {""Hair Color"": ""Dark B..."
,,"Jerome","S.","Jerome S.","Chief Revenue Officer","Raleigh-Durham-Chapel Hill Area","allianceindustrial.jobs","https://linkedin.com/in/jerome-s-a4686118","Jerome S.","https://media.licdn.com/dms/image/D4E03AQGdWwE4q59lig/profile-displayphoto-shrink_800_800/0/1705685745617?e=1718841600&v=beta&t=sYlliAH-a_tiVBf0aPylu1w2JCgS_oUL8xxkFTwa6Ao","https://media.licdn.com/dms/image/D4E03AQGdWwE4q59lig/profile-displayphoto-shrink_800_800/0/1705685745617?e=1718841600&v=beta&t=sYlliAH-a_tiVBf0aPylu1w2JCgS_oUL8xxkFTwa6Ao","true","Male, Medium, Black, Short, Broad, Front, No, Yes","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Medium""},
Hair Color: {""Hair Color"": ""Black""},
Hair Lengt...","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Medium""},
Hair Color: {""Hair Color"": ""Black""},
Hair Length: {""Hair Length"": ""Short""},
Facial Hair: {""Facial Hair"": ""Mustache and beard""},
Build: {""Build"": ""Average""},
Angle Facing Camera: {""Angle Facing Camera"": ""Front""},
Presence of Glasses: {""Presence of Glasses"": ""No""},
Facial Expression: {""Facial Expression"": ""Neutral""},
Suitability for Faceswap: {""Suitability for Faceswap"": ""Yes""}","{
  ""Sex"": {
    ""Sex"": ""Male""
  },
  ""Skin Tone"": {
    ""Tone"": ""Medium""
  },
  ""Hair Color"": {
   ..."
,,"Chris","Whaley","Chris Whaley","Chief Revenue Officer","Kansas City Metropolitan Area","concordusa.com","https://linkedin.com/in/ccwhaley","Chris Whaley","https://media.licdn.com/dms/image/D5603AQGYwobu4Giezg/profile-displayphoto-shrink_800_800/0/1677774279313?e=1718841600&v=beta&t=VEFqrwSKm7svMeiapePi6bV-2xDjd1jrR5P1kGu1_Ys","https://media.licdn.com/dms/image/D5603AQGYwobu4Giezg/profile-displayphoto-shrink_800_800/0/1677774279313?e=1718841600&v=beta&t=VEFqrwSKm7svMeiapePi6bV-2xDjd1jrR5P1kGu1_Ys","true","Male, Light, Brown, Short, Average, Front, No, Yes","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light""},
Hair Color: {""Hair Color"": ""Brown/Gray""},
Hair L...","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light""},
Hair Color: {""Hair Color"": ""Brown/Gray""},
Hair Length: {""Hair Length"": ""Short""},
Facial Hair: {""Facial Hair"": ""None""},
Build: {""Build"": ""Average""},
Angle Facing Camera: {""Angle Facing Camera"": ""Front""},
Presence of Glasses: {""Presence of Glasses"": ""No""},
Facial Expression: {""Facial Expression"": ""Neutral""},
Suitability for Faceswap: {""Suitability for Faceswap"": ""Yes""}","{
  ""Sex"": {""Sex"": ""Male""},
  ""Skin Tone"": {""Tone"": ""Light""},
  ""Hair Color"": {""Hair Color"": ""Brown/..."
,,"Chris","Tate","Chris Tate","Chief Revenue and Sales Officer","Salt Lake City Metropolitan Area",,"https://linkedin.com/in/chris-tate-b33014292","Chris Tate","https://media.licdn.com/dms/image/D4E03AQF_MDyHh3Cbsw/profile-displayphoto-shrink_800_800/0/1697845074343?e=1718841600&v=beta&t=xMZSrID2PZIQlNeAl-dI6Vs3KZ3D9YlDrAO-XnkBVB8","https://media.licdn.com/dms/image/D4E03AQF_MDyHh3Cbsw/profile-displayphoto-shrink_800_800/0/1697845074343?e=1718841600&v=beta&t=xMZSrID2PZIQlNeAl-dI6Vs3KZ3D9YlDrAO-XnkBVB8","true","Male, Light, Grey, Short, Average, Front, No, Yes","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light""},
Hair Color: {""Hair Color"": ""Grey""},
Hair Length:...","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light""},
Hair Color: {""Hair Color"": ""Grey""},
Hair Length: {""Hair Length"": ""Short""},
Facial Hair: {""Facial Hair"": ""None""},
Build: {""Build"": ""Average""},
Angle Facing Camera: {""Angle Facing Camera"": ""Front""},
Presence of Glasses: {""Presence of Glasses"": ""No""},
Facial Expression: {""Facial Expression"": ""Neutral""},
Suitability for Faceswap: {""Suitability for Faceswap"": ""Yes/PURPLE""}","{
  ""Sex"": {""Sex"": ""Male""},
  ""Skin Tone"": {""Tone"": ""Light""},
  ""Hair Color"": {""Hair Color"": ""Grey""}..."
,,"John","Roper","John Roper","Chief Revenue Officer (CRO)","Raleigh-Durham-Chapel Hill Area","alll.com","https://linkedin.com/in/roperjohn","John Roper","https://media.licdn.com/dms/image/D5603AQGBHg8KTiOuvw/profile-displayphoto-shrink_800_800/0/1670788096551?e=1718841600&v=beta&t=Pix_1kW8pv-WcfEstpq2qfLbRiIK2a86QXCML_i3nvI","https://media.licdn.com/dms/image/D5603AQGBHg8KTiOuvw/profile-displayphoto-shrink_800_800/0/1670788096551?e=1718841600&v=beta&t=Pix_1kW8pv-WcfEstpq2qfLbRiIK2a86QXCML_i3nvI","true","Male, Light, Brown, Short, Average, Front, No, Yes","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light""},
Hair Color: {""Hair Color"": ""Brown""},
Hair Length...","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light""},
Hair Color: {""Hair Color"": ""Brown""},
Hair Length: {""Hair Length"": ""Short""},
Facial Hair: {""Facial Hair"": ""Beard and Moustache""},
Build: {""Build"": ""Average""},
Angle Facing Camera: {""Angle Facing Camera"": ""Front""},
Presence of Glasses: {""Presence of Glasses"": ""No""},
Facial Expression: {""Facial Expression"": ""Smiling""},
Suitability for Faceswap: {""Suitability for Faceswap"": ""Yes/PURPLE""}","{
  ""Sex"": {
    ""Sex"": ""Male""
  },
  ""Skin Tone"": {
    ""Tone"": ""Light""
  },
  ""Hair Color"": {
    ..."
,,"DJ","Melsheimer","DJ Melsheimer","Vice President, Revenue","Dallas-Fort Worth Metroplex","hometaxsolutions.com","https://linkedin.com/in/dj-melsheimer-3714a7134","DJ Melsheimer","https://media.licdn.com/dms/image/C4E03AQH838kN6OTacw/profile-displayphoto-shrink_800_800/0/1628018158866?e=1718841600&v=beta&t=Xej0J0WLl7i_1NNWdvgBuwbg6JInCeE8q1jG5N29ReU","https://media.licdn.com/dms/image/C4E03AQH838kN6OTacw/profile-displayphoto-shrink_800_800/0/1628018158866?e=1718841600&v=beta&t=Xej0J0WLl7i_1NNWdvgBuwbg6JInCeE8q1jG5N29ReU","true","Male, Light, Blonde, Short, Average, Frontal, No, Yes","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Fair""},
Hair Color: {""Hair Color"": ""Blonde""},
Hair Length...","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Fair""},
Hair Color: {""Hair Color"": ""Blonde""},
Hair Length: {""Hair Length"": ""Short""},
Facial Hair: {""Facial Hair"": ""None""},
Build: {""Build"": ""Average""},
Angle Facing Camera: {""Angle Facing Camera"": ""Front""},
Presence of Glasses: {""Presence of Glasses"": ""No""},
Facial Expression: {""Facial Expression"": ""Smiling""},
Suitability for Faceswap: {""Suitability for Faceswap"": ""Yes""}","{
  ""Sex"": {""Sex"": ""Male""},
  ""Skin Tone"": {""Tone"": ""Fair""},
  ""Hair Color"": {""Hair Color"": ""Blonde""..."
,,"Kevin","Albrigo","Kevin Albrigo","Senior Executive Vice President, Chief Revenue Officer","Washington DC-Baltimore Area","odnbonline.com","https://linkedin.com/in/kevin-albrigo-307705b","Kevin Albrigo","https://media.licdn.com/dms/image/C4E03AQEMrjrOV3bcvQ/profile-displayphoto-shrink_800_800/0/1516372349159?e=1718841600&v=beta&t=yLimfkgNLtYnDdK6Zl8HTDESkvb_OvfwC6vhlweUJzQ","https://media.licdn.com/dms/image/C4E03AQEMrjrOV3bcvQ/profile-displayphoto-shrink_800_800/0/1516372349159?e=1718841600&v=beta&t=yLimfkgNLtYnDdK6Zl8HTDESkvb_OvfwC6vhlweUJzQ","true","Male, Light, Grey, Short, Average, Front, No, Yes","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light""},
Hair Color: {""Hair Color"": ""Grey""},
Hair Length:...","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light""},
Hair Color: {""Hair Color"": ""Grey""},
Hair Length: {""Hair Length"": ""Short""},
Facial Hair: {""Facial Hair"": ""None""},
Build: {""Build"": ""Average""},
Angle Facing Camera: {""Angle Facing Camera"": ""Front""},
Presence of Glasses: {""Presence of Glasses"": ""No""},
Facial Expression: {""Facial Expression"": ""Neutral""},
Suitability for Faceswap: {""Suitability for Faceswap"": ""Yes""}","{
  ""Sex"": {""Sex"": ""Male""},
  ""Skin Tone"": {""Tone"": ""Light""},
  ""Hair Color"": {""Hair Color"": ""Grey""}..."
,,"Bryan","Hansel","Bryan Hansel","Chief Revenue Officer (CRO)","Kansas City Metropolitan Area","holganix.com","https://linkedin.com/in/bryan-hansel-7210188","Bryan Hansel","https://media.licdn.com/dms/image/C4E03AQG7mfHLx6TydQ/profile-displayphoto-shrink_400_400/0/1627654203738?e=1718841600&v=beta&t=jjkGr_Qu_eKN4Lgj_u3zafJ6jJekjXvUh41pzXYV0Eo","https://media.licdn.com/dms/image/C4E03AQG7mfHLx6TydQ/profile-displayphoto-shrink_400_400/0/1627654203738?e=1718841600&v=beta&t=jjkGr_Qu_eKN4Lgj_u3zafJ6jJekjXvUh41pzXYV0Eo","true","Male, Light, Blond, Short, Average, Slightly angled, No, Yes","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light""},
Hair Color: {""Hair Color"": ""Blond""},
Hair Length...","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light""},
Hair Color: {""Hair Color"": ""Blond""},
Hair Length: {""Hair Length"": ""Short""},
Facial Hair: {""Facial Hair"": ""None""},
Build: {""Build"": ""Slim""},
Angle Facing Camera: {""Angle Facing Camera"": ""Side""},
Presence of Glasses: {""Presence of Glasses"": ""No""},
Facial Expression: {""Facial Expression"": ""Neutral/slight smile""},
Suitability for Faceswap: {""Suitability for Faceswap"": ""Yes""}","{
  ""Sex"": {
    ""Sex"": ""Male""
  },
  ""Skin Tone"": {
    ""Tone"": ""Light""
  },
  ""Hair Color"": {
    ..."
,,"Tom","Pullaro","Tom Pullaro","Vice President Sales","Raleigh-Durham-Chapel Hill Area","dragonflypondworks.com","https://linkedin.com/in/tom-pullaro-b0564136","Tom Pullaro","https://media.licdn.com/dms/image/D4E03AQHvQ-TQTZa5YA/profile-displayphoto-shrink_800_800/0/1678807319459?e=1718841600&v=beta&t=5HzGfpRCPysinVKA8HS5Jqdby4XJMOhWaEcmfrJFrXM","https://media.licdn.com/dms/image/D4E03AQHvQ-TQTZa5YA/profile-displayphoto-shrink_800_800/0/1678807319459?e=1718841600&v=beta&t=5HzGfpRCPysinVKA8HS5Jqdby4XJMOhWaEcmfrJFrXM","true","Male, Light, Dark, Short, Average, Front, No, Yes","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light-medium""},
Hair Color: {""Hair Color"": ""Salt and pepp...","Sex: {""Sex"": ""Male""},
Skin Tone: {""Tone"": ""Light-medium""},
Hair Color: {""Hair Color"": ""Salt and pepper""},
Hair Length: {""Hair Length"": ""Short""},
Facial Hair: {""Facial Hair"": ""None""},
Build: {""Build"": ""Average""},
Angle Facing Camera: {""Angle Facing Camera"": ""Frontal""},
Presence of Glasses: {""Presence of Glasses"": ""No""},
Facial Expression: {""Facial Expression"": ""Smiling""},
Suitability for Faceswap: {""Suitability for Faceswap"": ""Yes""}","{
  ""Sex"": {""Sex"": ""Male""},
  ""Skin Tone"": {""Tone"": ""Light-medium""},
  ""Hair Color"": {""Hair Color"": ..."
